drug,pearson,r2,rmse,n_samples,mut_attn,cnv_attn,exp_attn
PD0325901,0.9518492987902586,0.8990318179130554,0.6965374817768604,149,0.7506,0.159,0.0905
Trametinib,0.9497046256353495,0.891558825969696,0.7279971325629219,132,0.8048,0.0938,0.1014
Camptothecin,0.9280945478088815,0.8533984422683716,0.7234257081226306,138,0.4915,0.3527,0.1558
Cisplatin,0.9253341378726134,0.8455103635787964,0.8435814653842133,117,0.5599,0.3649,0.0752
Tozasertib,0.9204633533292166,0.8412012457847595,0.9823988803728229,40,0.6823,0.2302,0.0875
Irinotecan,0.9085427573825285,0.8230768442153931,0.7671872762458304,148,0.6446,0.2788,0.0766
Refametinib,0.9001860089521501,0.808548092842102,0.8565888409633418,152,0.6262,0.2896,0.0841
Nutlin-3a (-),0.8959450112971417,0.7511060237884521,0.8502924486156278,145,0.2999,0.6571,0.043
SCH772984,0.8947595388772684,0.7991923093795776,0.7214158418549405,131,0.6486,0.2767,0.0746
Wee1 Inhibitor,0.8940885373255132,0.7935951352119446,0.6784962486087484,138,0.7322,0.1789,0.0889
Sapitinib,0.892210634920361,0.7949382066726685,0.7960610440080591,139,0.4294,0.5132,0.0574
AZD5363,0.8908338236807238,0.7918683886528015,0.6554665430188676,127,0.6466,0.2779,0.0755
Afatinib,0.8894720304153062,0.7903061509132385,0.6470307637157331,134,0.8544,0.0687,0.0769
AZD5438,0.8893533175889762,0.770400881767273,0.8419595724897683,90,0.7084,0.2072,0.0845
Taselisib,0.8883940290126143,0.7890056371688843,0.7572378752510076,149,0.7637,0.1532,0.0831
EPZ5676,0.8873259349346303,0.7845255136489868,0.470040135394666,132,0.1414,0.8242,0.0345
Vorinostat,0.8868802639546048,0.7767702341079712,0.5501646012309142,150,0.816,0.0909,0.0931
Vinorelbine,0.8866774899756249,0.7750874757766724,1.024370365283622,133,0.3916,0.4129,0.1955
Axitinib,0.885338988624896,0.7806586623191833,0.8162275054776347,151,0.6391,0.286,0.075
Gemcitabine,0.8851535984421229,0.775294303894043,1.4833763377067157,144,0.5852,0.289,0.1258
